Mod:Item:MetaData, Localized Name
thermaldynamics:cover:0, Lime Rockwool Cover
thermaldynamics:cover:0, Yellow Rockwool Cover
thermaldynamics:cover:0, Light Blue Rockwool Cover
thermaldynamics:cover:0, Magenta Rockwool Cover
thermaldynamics:cover:0, Orange Rockwool Cover
thermaldynamics:cover:0, White Rockwool Cover
thermaldynamics:cover:0, Draconium Ore Cover
thermaldynamics:cover:0, Nether Draconium Ore Cover
thermaldynamics:cover:0, Ender Draconium Ore Cover
thermaldynamics:cover:0, Draconium Block Cover
thermaldynamics:cover:0, Charged Draconium Block Cover
thermaldynamics:cover:0, Awakened Draconium Block Cover
thermaldynamics:cover:0, Draconium Infused Obsidian Cover
thermaldynamics:cover:0, Dislocation Normalization Field Projector Cover
thermaldynamics:cover:0, Rain Sensor Cover
thermaldynamics:cover:0, Steam Cover
thermaldynamics:cover:0, Syngas Cover
thermaldynamics:cover:0, Copper Ore Cover
thermaldynamics:cover:0, Tin Ore Cover
thermaldynamics:cover:0, Lead Ore Cover
thermaldynamics:cover:0, Thorium Ore Cover
thermaldynamics:cover:0, Uranium Ore Cover
thermaldynamics:cover:0, Boron Ore Cover
thermaldynamics:cover:0, Lithium Ore Cover
thermaldynamics:cover:0, Magnesium Ore Cover
thermaldynamics:cover:0, Copper Block Cover
thermaldynamics:cover:0, Tin Block Cover
thermaldynamics:cover:0, Lead Block Cover
thermaldynamics:cover:0, Thorium Block Cover
thermaldynamics:cover:0, Uranium Block Cover
thermaldynamics:cover:0, Boron Block Cover
thermaldynamics:cover:0, Lithium Block Cover
thermaldynamics:cover:0, Magnesium Block Cover
thermaldynamics:cover:0, Graphite Block Cover
thermaldynamics:cover:0, Beryllium Block Cover
thermaldynamics:cover:0, Zirconium Block Cover
thermaldynamics:cover:0, Manganese Block Cover
thermaldynamics:cover:0, Aluminum Block Cover
thermaldynamics:cover:0, Silver Block Cover
thermaldynamics:cover:0, Fission Reactor Casing Cover
thermaldynamics:cover:0, Blast Block Cover
thermaldynamics:cover:0, Transparent Fission Reactor Casing Cover
thermaldynamics:cover:0, Reactor Cell Cover
thermaldynamics:cover:0, Empty Cooler Cover
thermaldynamics:cover:0, Water Cooler Cover
thermaldynamics:cover:0, Redstone Cooler Cover
thermaldynamics:cover:0, Quartz Cooler Cover
thermaldynamics:cover:0, Gold Cooler Cover
thermaldynamics:cover:0, Glowstone Cooler Cover
thermaldynamics:cover:0, Lapis Cooler Cover
thermaldynamics:cover:0, Diamond Cooler Cover
thermaldynamics:cover:0, Liquid Helium Cooler Cover
thermaldynamics:cover:0, Enderium Cooler Cover
thermaldynamics:cover:0, Cryotheum Cooler Cover
thermaldynamics:cover:0, Iron Cooler Cover
thermaldynamics:cover:0, Emerald Cooler Cover
thermaldynamics:cover:0, Copper Cooler Cover
thermaldynamics:cover:0, Tin Cooler Cover
thermaldynamics:cover:0, Magnesium Cooler Cover
thermaldynamics:cover:0, Reactor Trapdoor Cover
thermaldynamics:cover:0, Thorium-230 Block Cover
thermaldynamics:cover:0, Uranium-238 Block Cover
thermaldynamics:cover:0, Neptunium-237 Block Cover
thermaldynamics:cover:0, Plutonium-242 Block Cover
thermaldynamics:cover:0, Americium-243 Block Cover
thermaldynamics:cover:0, Curium-246 Block Cover
thermaldynamics:cover:0, Berkelium-247 Block Cover
thermaldynamics:cover:0, Californium-252 Block Cover
thermaldynamics:cover:0, Supercold Ice Cover
thermaldynamics:cover:0, Fusion Connector Cover
thermaldynamics:cover:0, Glowing Mushroom Cover
thermaldynamics:cover:0, Wasteland Earth Cover
thermaldynamics:cover:0, Tritium Lamp Cover
thermaldynamics:cover:0, Block of Chamelium Cover
thermaldynamics:cover:0, End Stone Cover
libvulpes:blockphantom, tile.blockPhantom.name
libvulpes:hatch:0, Input Hatch
libvulpes:hatch:1, Output Hatch
libvulpes:hatch:2, Fluid Input Hatch
libvulpes:hatch:3, Fluid Output Hatch
libvulpes:placeholder, Machine
libvulpes:structuremachine, Machine Structure
libvulpes:creativepowerbattery, Creative Power Input Plug
libvulpes:forgepowerinput, Power Input Plug
libvulpes:forgepoweroutput, Power Output Plug
libvulpes:coalgenerator, Coal Generator
libvulpes:motor, Motor
libvulpes:advancedmotor, Advanced Motor
libvulpes:enhancedmotor, Enhanced Motor
libvulpes:elitemotor, Elite Motor
libvulpes:advstructuremachine, Advanced Machine Structure
libvulpes:productdust:0, Dilithium Dust
libvulpes:productdust:1, Iron Dust
libvulpes:productdust:2, Gold Dust
libvulpes:productdust:3, Silicon Dust
libvulpes:productdust:4, Copper Dust
libvulpes:productdust:5, Tin Dust
libvulpes:productdust:6, Steel Dust
libvulpes:productdust:7, Titanium Dust
libvulpes:productdust:9, Aluminum Dust
libvulpes:productdust:10, Iridium Dust
libvulpes:productingot:3, Silicon Ingot
libvulpes:productingot:4, Copper Ingot
libvulpes:productingot:5, Tin Ingot
libvulpes:productingot:6, Steel Ingot
libvulpes:productingot:7, Titanium Ingot
libvulpes:productingot:9, Aluminum Ingot
libvulpes:productingot:10, Iridium Ingot
libvulpes:productgem:0, Dilithium Crystal
libvulpes:productboule:3, Silicon Boule
libvulpes:productnugget:3, Silicon Nugget
libvulpes:productnugget:4, Copper Nugget
libvulpes:productnugget:5, Tin Nugget
libvulpes:productnugget:6, Steel Nugget
libvulpes:productnugget:7, Titanium Nugget
libvulpes:productnugget:9, Aluminum Nugget
libvulpes:productnugget:10, Iridium Nugget
libvulpes:productplate:1, Iron Plate
libvulpes:productplate:2, Gold Plate
libvulpes:productplate:3, Silicon Plate
libvulpes:productplate:4, Copper Plate
libvulpes:productplate:5, Tin Plate
libvulpes:productplate:6, Steel Plate
libvulpes:productplate:7, Titanium Plate
libvulpes:productplate:9, Aluminum Plate
libvulpes:productplate:10, Iridium Plate
libvulpes:productrod:1, Iron Rod
libvulpes:productrod:4, Copper Rod
libvulpes:productrod:6, Steel Rod
libvulpes:productrod:7, Titanium Rod
libvulpes:productrod:10, Iridium Rod
libvulpes:productfan:6, Steel Fan
libvulpes:productsheet:1, Iron Sheet
libvulpes:productsheet:4, Copper Sheet
libvulpes:productsheet:6, Steel Sheet
libvulpes:productsheet:7, Titanium Sheet
libvulpes:productsheet:9, Aluminum Sheet
libvulpes:productgear:6, Steel Gear
libvulpes:productgear:7, Titanium Gear
libvulpes:ore0:0, Dilithium Ore
libvulpes:ore0:4, Copper Ore
libvulpes:ore0:5, Tin Ore
libvulpes:ore0:8, Rutile Ore
libvulpes:ore0:9, Aluminum Ore
libvulpes:ore0:10, Iridium Ore
libvulpes:metal0:4, Copper Block
libvulpes:metal0:5, Tin Block
libvulpes:metal0:6, Steel Block
libvulpes:metal0:7, Titanium Block
libvulpes:metal0:9, Aluminum Block
libvulpes:metal0:10, Iridium Block
libvulpes:coil0:2, Gold Coil
libvulpes:coil0:4, Copper Coil
libvulpes:coil0:7, Titanium Coil
libvulpes:coil0:9, Aluminum Coil
libvulpes:coil0:10, Iridium Coil
advancedrocketry:launchpad, Launch Pad
advancedrocketry:rocketbuilder, Rocket Assembling Machine
advancedrocketry:structuretower, Structure Tower
advancedrocketry:seat, Seat
advancedrocketry:rocketmotor, Liquid Fueled Engine
advancedrocketry:advrocketmotor, Advanced Rocket Engine
advancedrocketry:fueltank, Liquid Fuel Tank
advancedrocketry:fuelingstation, Fueling station
advancedrocketry:monitoringstation, Rocket Monitoring Station
advancedrocketry:satellitebuilder, Satellite Builder
advancedrocketry:moonturf, Moon Turf
advancedrocketry:moonturf_dark, Dark Moon Turf
advancedrocketry:hotturf, Oxidized Ferric Sand
advancedrocketry:loader:0, Data Bus
advancedrocketry:loader:1, Satellite Bay
advancedrocketry:loader:2, Rocket Unloader
advancedrocketry:loader:3, Rocket Loader
advancedrocketry:loader:4, Rocket Fluid Unloader
advancedrocketry:loader:5, Rocket Fluid Loader
advancedrocketry:loader:6, Guidance Computer Access Hatch
advancedrocketry:precisionassemblingmachine, Precision Assembler
advancedrocketry:blastbrick, HeatProof Brick
advancedrocketry:quartzcrucible, Quartz Crucible
advancedrocketry:crystallizer, Crystallizer
advancedrocketry:cuttingmachine, Cutting Machine
advancedrocketry:alienwood, Wood
advancedrocketry:alienleaves, Lightwood Leaves
advancedrocketry:aliensapling, Lightwood Sapling
advancedrocketry:observatory, Observatory
advancedrocketry:blackholegenerator, Black Hole Generator
advancedrocketry:concrete, Concrete
advancedrocketry:planetselector, Planet Selector
advancedrocketry:satellitecontrolcenter, Satellite Terminal
advancedrocketry:planetanalyser, Astrobody Data Processor
advancedrocketry:guidancecomputer, Guidance Computer
advancedrocketry:arcfurnace, Electric Arc Furnace
advancedrocketry:sawblade, Saw Blade Assembly
advancedrocketry:lathe, Lathe
advancedrocketry:rollingmachine, Rolling Machine
advancedrocketry:platepress, Small Plate Presser
advancedrocketry:stationbuilder, Space Station Assembler
advancedrocketry:electrolyser, Electrolyser
advancedrocketry:chemicalreactor, Chemical Reactor
advancedrocketry:oxygenscrubber, CO2 Scrubber
advancedrocketry:oxygenvent, Oxygen Vent
advancedrocketry:oxygencharger, Gas Charge Pad
advancedrocketry:airlock_door, tile.smallAirlockDoor.name
advancedrocketry:landingpad, Docking Pad
advancedrocketry:warpcore, Warp Core
advancedrocketry:warpmonitor, Warp Controller
advancedrocketry:oxygendetection, Atmosphere Detector
advancedrocketry:unlittorch, Extinguished Torch
advancedrocketry:geode, Geode Block
advancedrocketry:oxygenfluid, Oxygen
advancedrocketry:hydrogenfluid, Hydrogen
advancedrocketry:rocketfuel, Rocket Fuel
advancedrocketry:nitrogenfluid, Nitrogen
advancedrocketry:enrichedlavafluid, Enriched Lava Block
advancedrocketry:vitrifiedsand, Vitrified Sand
advancedrocketry:charcoallog, Charcoal Log
advancedrocketry:electricmushroom, Electric Mushroom
advancedrocketry:crystal:0, Violet Crystal Block
advancedrocketry:crystal:1, Blue Crystal Block
advancedrocketry:crystal:2, Green Crystal Block
advancedrocketry:crystal:3, Red Crystal Block
advancedrocketry:crystal:4, Yellow Crystal Block
advancedrocketry:crystal:5, Orange Crystal Block
advancedrocketry:orientationcontroller, Orientation Controller
advancedrocketry:gravitycontroller, Station Gravity Controller
advancedrocketry:drill, Drill
advancedrocketry:microwavereciever, Microwave Receiver
advancedrocketry:lightsource, tile.lightSource.name
advancedrocketry:solarpanel, Solar Panel
advancedrocketry:suitworkstation, Suit Workstation
advancedrocketry:biomescanner, Biome Scanner
advancedrocketry:terraformer, Atmosphere Terraformer
advancedrocketry:deployablerocketbuilder, Unmanned Vehicle Assembler
advancedrocketry:liquidtank, Pressurized Tank
advancedrocketry:intake, Gas Intake
advancedrocketry:circlelight, Station Light
advancedrocketry:solargenerator, Solar Generator
advancedrocketry:stationmarker, Station Docking Port
advancedrocketry:altitudecontroller, Altitude Controller
advancedrocketry:railgun, Railgun
advancedrocketry:astrobed, tile.astroBed.name
advancedrocketry:planetholoselector, Holographic Planet Selector
advancedrocketry:blocklens, Lens
advancedrocketry:forcefield, Force Field
advancedrocketry:forcefieldprojector, Force Field Projector
advancedrocketry:pipesealer, Pipe Seal
advancedrocketry:spaceelevatorcontroller, Space Elevator
advancedrocketry:beacon, Beacon
advancedrocketry:planks, Lightwood planks
advancedrocketry:thermitetorch, Thermite Torch
advancedrocketry:wirelesstransciever, Wireless Transciever
advancedrocketry:blockpump, Fluid Pump
advancedrocketry:centrifuge, Centrifuge
advancedrocketry:basalt, Basalt
advancedrocketry:landingfloat, Landing Float
advancedrocketry:gravitymachine, Area Gravity Controller
advancedrocketry:spacelaser, Orbital Laser Drill
advancedrocketry:productdust:0, Titanium Aluminide Dust
advancedrocketry:productdust:1, Titanium Iridium Alloy Dust
advancedrocketry:productingot:0, Titanium Aluminide Ingot
advancedrocketry:productingot:1, Titanium Iridium Alloy Ingot
advancedrocketry:productnugget:0, Titanium Aluminide Nugget
advancedrocketry:productnugget:1, Titanium Iridium Alloy Nugget
advancedrocketry:productplate:0, Titanium Aluminide Plate
advancedrocketry:productplate:1, Titanium Iridium Alloy Plate
advancedrocketry:productrod:0, Titanium Aluminide Rod
advancedrocketry:productrod:1, Titanium Iridium Alloy Rod
advancedrocketry:productsheet:0, Titanium Aluminide Sheet
advancedrocketry:productsheet:1, Titanium Iridium Alloy Sheet
advancedrocketry:productgear:0, Titanium Aluminide Gear
advancedrocketry:productgear:1, Titanium Iridium Alloy Gear
advancedrocketry:metal0:0, Titanium Aluminide Block
advancedrocketry:metal0:1, Titanium Iridium Alloy Block
chisel:blockaluminum:0, Block of Aluminum
chisel:blockaluminum:1, Block of Aluminum
chisel:blockaluminum:2, Block of Aluminum
chisel:blockaluminum:3, Block of Aluminum
chisel:blockaluminum:4, Block of Aluminum
chisel:blockaluminum:5, Block of Aluminum
chisel:blockaluminum:6, Block of Aluminum
chisel:andesite:0, Andesite
chisel:andesite:1, Andesite
chisel:andesite:2, Andesite
chisel:andesite:3, Andesite
chisel:andesite:4, Andesite
chisel:andesite:5, Andesite
chisel:andesite:6, Andesite
chisel:andesite:7, Andesite
chisel:andesite:8, Andesite
chisel:andesite:9, Andesite
chisel:andesite:10, Andesite
chisel:andesite:11, Andesite
chisel:andesite:12, Andesite
chisel:andesite:13, Andesite
chisel:andesite:14, Andesite
chisel:andesite:15, Andesite
chisel:andesite1:0, Andesite
chisel:andesite1:1, Andesite
chisel:andesite1:2, Andesite
chisel:andesite1:3, Andesite
chisel:andesite1:4, Andesite
chisel:andesite1:5, Andesite
chisel:andesite1:6, Andesite
chisel:andesite1:7, Andesite
chisel:andesite1:8, Andesite
chisel:andesite1:9, Andesite
chisel:andesite1:10, Andesite
chisel:andesite1:11, Andesite
chisel:andesite1:12, Andesite
chisel:andesite1:13, Andesite
chisel:andesite1:14, Andesite
chisel:andesite1:15, Andesite
chisel:andesite2:0, Andesite
chisel:antiblock:0, Antiblock
chisel:antiblock:1, Antiblock
chisel:antiblock:2, Antiblock
chisel:antiblock:3, Antiblock
chisel:antiblock:4, Antiblock
chisel:antiblock:5, Antiblock
chisel:antiblock:6, Antiblock
chisel:antiblock:7, Antiblock
chisel:antiblock:8, Antiblock
chisel:antiblock:9, Antiblock
chisel:antiblock:10, Antiblock
chisel:antiblock:11, Antiblock
chisel:antiblock:12, Antiblock
chisel:antiblock:13, Antiblock
chisel:antiblock:14, Antiblock
chisel:antiblock:15, Antiblock
chisel:basalt:0, Basalt
chisel:basalt:1, Basalt
chisel:basalt:2, Basalt
chisel:basalt:3, Basalt
chisel:basalt:4, Basalt
chisel:basalt:5, Basalt
chisel:basalt:6, Basalt
chisel:basalt:7, Basalt
chisel:basalt:8, Basalt
chisel:basalt:9, Basalt
chisel:basalt:10, Basalt
chisel:basalt:11, Basalt
chisel:basalt:12, Basalt
chisel:basalt:13, Basalt
chisel:basalt:14, Basalt
chisel:basalt:15, Basalt
chisel:basalt1:0, Basalt
chisel:basalt1:1, Basalt
chisel:basalt1:2, Basalt
chisel:basalt1:3, Basalt
chisel:basalt1:4, Basalt
chisel:basalt1:5, Basalt
chisel:basalt1:6, Basalt
chisel:basalt1:7, Basalt
chisel:basalt1:8, Basalt
chisel:basalt1:9, Basalt
chisel:basalt2:0, Basalt
chisel:basalt2:1, Basalt
chisel:basalt2:2, Basalt
chisel:basalt2:3, Basalt
chisel:basalt2:4, Basalt
chisel:basalt2:5, Basalt
chisel:basalt2:6, Basalt
chisel:basalt2:7, Basalt
chisel:bookshelf_oak:0, Oak Bookshelf
chisel:bookshelf_oak:1, Oak Bookshelf
chisel:bookshelf_oak:2, Oak Bookshelf
chisel:bookshelf_oak:3, Oak Bookshelf
chisel:bookshelf_oak:4, Oak Bookshelf
chisel:bookshelf_oak:5, Oak Bookshelf
chisel:bookshelf_oak:6, Oak Bookshelf
chisel:bookshelf_oak:7, Oak Bookshelf
chisel:bookshelf_oak:8, Oak Bookshelf
chisel:bookshelf_oak:9, Oak Bookshelf
chisel:bookshelf_spruce:0, Spruce Bookshelf
chisel:bookshelf_spruce:1, Spruce Bookshelf
chisel:bookshelf_spruce:2, Spruce Bookshelf
chisel:bookshelf_spruce:3, Spruce Bookshelf
chisel:bookshelf_spruce:4, Spruce Bookshelf
chisel:bookshelf_spruce:5, Spruce Bookshelf
chisel:bookshelf_spruce:6, Spruce Bookshelf
chisel:bookshelf_spruce:7, Spruce Bookshelf
chisel:bookshelf_spruce:8, Spruce Bookshelf
chisel:bookshelf_spruce:9, Spruce Bookshelf
chisel:bookshelf_birch:0, Birch Bookshelf
chisel:bookshelf_birch:1, Birch Bookshelf
chisel:bookshelf_birch:2, Birch Bookshelf
chisel:bookshelf_birch:3, Birch Bookshelf
chisel:bookshelf_birch:4, Birch Bookshelf
chisel:bookshelf_birch:5, Birch Bookshelf
chisel:bookshelf_birch:6, Birch Bookshelf
chisel:bookshelf_birch:7, Birch Bookshelf
chisel:bookshelf_birch:8, Birch Bookshelf
chisel:bookshelf_birch:9, Birch Bookshelf
chisel:bookshelf_jungle:0, Jungle Bookshelf
chisel:bookshelf_jungle:1, Jungle Bookshelf
chisel:bookshelf_jungle:2, Jungle Bookshelf
chisel:bookshelf_jungle:3, Jungle Bookshelf
chisel:bookshelf_jungle:4, Jungle Bookshelf
chisel:bookshelf_jungle:5, Jungle Bookshelf
chisel:bookshelf_jungle:6, Jungle Bookshelf
chisel:bookshelf_jungle:7, Jungle Bookshelf
chisel:bookshelf_jungle:8, Jungle Bookshelf
chisel:bookshelf_jungle:9, Jungle Bookshelf
chisel:bookshelf_acacia:0, Acacia Bookshelf
chisel:bookshelf_acacia:1, Acacia Bookshelf
chisel:bookshelf_acacia:2, Acacia Bookshelf
chisel:bookshelf_acacia:3, Acacia Bookshelf
chisel:bookshelf_acacia:4, Acacia Bookshelf
chisel:bookshelf_acacia:5, Acacia Bookshelf
chisel:bookshelf_acacia:6, Acacia Bookshelf
chisel:bookshelf_acacia:7, Acacia Bookshelf
chisel:bookshelf_acacia:8, Acacia Bookshelf
chisel:bookshelf_acacia:9, Acacia Bookshelf
chisel:bookshelf_darkoak:0, Dark Oak Bookshelf
chisel:bookshelf_darkoak:1, Dark Oak Bookshelf
chisel:bookshelf_darkoak:2, Dark Oak Bookshelf
chisel:bookshelf_darkoak:3, Dark Oak Bookshelf
chisel:bookshelf_darkoak:4, Dark Oak Bookshelf
chisel:bookshelf_darkoak:5, Dark Oak Bookshelf
chisel:bookshelf_darkoak:6, Dark Oak Bookshelf
chisel:bookshelf_darkoak:7, Dark Oak Bookshelf
chisel:bookshelf_darkoak:8, Dark Oak Bookshelf
chisel:bookshelf_darkoak:9, Dark Oak Bookshelf
chisel:bricks:0, Bricks
chisel:bricks:1, Bricks
chisel:bricks:2, Bricks
chisel:bricks:3, Bricks
chisel:bricks:4, Bricks
chisel:bricks:5, Bricks
chisel:bricks:6, Bricks
chisel:bricks:7, Bricks
chisel:bricks:8, Bricks
chisel:bricks:9, Bricks
chisel:bricks:10, Bricks
chisel:bricks:11, Bricks
chisel:bricks:12, Bricks
chisel:bricks:13, Bricks
chisel:bricks:14, Bricks
chisel:bricks:15, Bricks
chisel:bricks1:0, Bricks
chisel:bricks1:1, Bricks
chisel:bricks1:2, Bricks
chisel:bricks1:3, Bricks
chisel:bricks1:4, Bricks
chisel:bricks1:5, Bricks
chisel:bricks1:6, Bricks
chisel:bricks1:7, Bricks
chisel:bricks1:8, Bricks
chisel:bricks1:9, Bricks
chisel:bricks2:0, Bricks
chisel:bricks2:1, Bricks
chisel:bricks2:2, Bricks
chisel:bricks2:3, Bricks
chisel:bricks2:4, Bricks
chisel:bricks2:5, Bricks
chisel:blockbronze:0, Block of Bronze
chisel:blockbronze:1, Block of Bronze
chisel:blockbronze:2, Block of Bronze
chisel:blockbronze:3, Block of Bronze
chisel:blockbronze:4, Block of Bronze
chisel:blockbronze:5, Block of Bronze
chisel:blockbronze:6, Block of Bronze
chisel:brownstone:0, Brownstone
chisel:brownstone:1, Brownstone
chisel:brownstone:2, Brownstone
chisel:brownstone:3, Brownstone
chisel:brownstone:4, Brownstone
chisel:brownstone:5, Brownstone
chisel:brownstone:6, Brownstone
chisel:brownstone:7, Brownstone
chisel:brownstone:8, Brownstone
chisel:brownstone:9, Brownstone
chisel:certus:0, Block of Certus Quartz
chisel:certus:1, Block of Certus Quartz
chisel:certus:2, Block of Certus Quartz
chisel:certus:3, Block of Certus Quartz
chisel:certus:4, Block of Certus Quartz
chisel:certus:5, Block of Certus Quartz
chisel:certus:6, Block of Certus Quartz
chisel:certus:7, Block of Certus Quartz
chisel:certus:8, Block of Certus Quartz
chisel:certus:9, Block of Certus Quartz
chisel:certus:10, Block of Certus Quartz
chisel:certus:11, Block of Certus Quartz
chisel:certus:12, Block of Certus Quartz
chisel:certus:13, Block of Certus Quartz
chisel:certus:14, Block of Certus Quartz
chisel:certus:15, Block of Certus Quartz
chisel:certus1:0, Block of Certus Quartz
chisel:certus1:1, Block of Certus Quartz
chisel:certus1:2, Block of Certus Quartz
chisel:certus1:3, Block of Certus Quartz
chisel:certus1:4, Block of Certus Quartz
chisel:certus1:5, Block of Certus Quartz
chisel:certus1:6, Block of Certus Quartz
chisel:certus1:7, Block of Certus Quartz
chisel:certus1:8, Block of Certus Quartz
chisel:certus1:9, Block of Certus Quartz
chisel:certus1:10, Block of Certus Quartz
chisel:certus1:11, Block of Certus Quartz
chisel:certus1:12, Block of Certus Quartz
chisel:certus1:13, Block of Certus Quartz
chisel:certus1:14, Block of Certus Quartz
chisel:certus1:15, Block of Certus Quartz
chisel:certus2:0, Block of Certus Quartz
chisel:certus2:1, Block of Certus Quartz
chisel:carpet_black:0, Black Carpet
chisel:carpet_black:1, Black Carpet
chisel:carpet_red:0, Red Carpet
chisel:carpet_red:1, Red Carpet
chisel:carpet_green:0, Green Carpet
chisel:carpet_green:1, Green Carpet
chisel:carpet_brown:0, Brown Carpet
chisel:carpet_brown:1, Brown Carpet
chisel:carpet_blue:0, Blue Carpet
chisel:carpet_blue:1, Blue Carpet
chisel:carpet_purple:0, Purple Carpet
chisel:carpet_purple:1, Purple Carpet
chisel:carpet_cyan:0, Cyan Carpet
chisel:carpet_cyan:1, Cyan Carpet
chisel:carpet_lightgray:0, Light Gray Carpet
chisel:carpet_lightgray:1, Light Gray Carpet
chisel:carpet_gray:0, Gray Carpet
chisel:carpet_gray:1, Gray Carpet
chisel:carpet_pink:0, Pink Carpet
chisel:carpet_pink:1, Pink Carpet
chisel:carpet_lime:0, Lime Carpet
chisel:carpet_lime:1, Lime Carpet
chisel:carpet_yellow:0, Yellow Carpet
chisel:carpet_yellow:1, Yellow Carpet
chisel:carpet_lightblue:0, Light Blue Carpet
chisel:carpet_lightblue:1, Light Blue Carpet
chisel:carpet_magenta:0, Magenta Carpet
chisel:carpet_magenta:1, Magenta Carpet
chisel:carpet_orange:0, Orange Carpet
chisel:carpet_orange:1, Orange Carpet
chisel:carpet_white:0, White Carpet
chisel:carpet_white:1, White Carpet
chisel:block_charcoal:0, Block of Charcoal
chisel:block_charcoal:1, Block of Charcoal
chisel:block_charcoal:2, Block of Charcoal
chisel:block_charcoal:3, Block of Charcoal
chisel:block_charcoal:4, Block of Charcoal
chisel:block_charcoal:5, Block of Charcoal
chisel:block_charcoal:6, Block of Charcoal
chisel:block_charcoal:7, Block of Charcoal
chisel:block_charcoal:8, Block of Charcoal
chisel:block_charcoal:9, Block of Charcoal
chisel:block_charcoal:10, Block of Charcoal
chisel:block_charcoal:11, Block of Charcoal
chisel:block_charcoal:12, Block of Charcoal
chisel:block_charcoal:13, Block of Charcoal
chisel:block_charcoal:14, Block of Charcoal
chisel:block_charcoal:15, Block of Charcoal
chisel:block_charcoal1:0, Block of Charcoal
chisel:block_charcoal1:1, Block of Charcoal
chisel:block_charcoal1:2, Block of Charcoal
chisel:block_charcoal1:3, Block of Charcoal
chisel:block_charcoal1:4, Block of Charcoal
chisel:block_charcoal1:5, Block of Charcoal
chisel:block_charcoal1:6, Block of Charcoal
chisel:block_charcoal1:7, Block of Charcoal
chisel:block_charcoal1:8, Block of Charcoal
chisel:block_charcoal1:9, Block of Charcoal
chisel:block_charcoal1:10, Block of Charcoal
chisel:block_charcoal1:11, Block of Charcoal
chisel:block_charcoal1:12, Block of Charcoal
chisel:block_charcoal1:13, Block of Charcoal
chisel:block_charcoal1:14, Block of Charcoal
chisel:block_charcoal1:15, Block of Charcoal
chisel:block_charcoal2:0, Block of Charcoal
chisel:block_charcoal2:1, Block of Charcoal
chisel:cloud:0, Cloud
chisel:cloud:1, Cloud
chisel:cloud:2, Cloud
chisel:cloud:3, Cloud
chisel:cloud:4, Cloud
chisel:blockcobalt:0, Block of Cobalt
chisel:blockcobalt:1, Block of Cobalt
chisel:blockcobalt:2, Block of Cobalt
chisel:blockcobalt:3, Block of Cobalt
chisel:blockcobalt:4, Block of Cobalt
chisel:blockcobalt:5, Block of Cobalt
chisel:blockcobalt:6, Block of Cobalt
chisel:cobblestone:0, Cobblestone
chisel:cobblestone:1, Cobblestone
chisel:cobblestone:2, Cobblestone
chisel:cobblestone:3, Cobblestone
chisel:cobblestone:4, Cobblestone
chisel:cobblestone:5, Cobblestone
chisel:cobblestone:6, Cobblestone
chisel:cobblestone:7, Cobblestone
chisel:cobblestone:8, Cobblestone
chisel:cobblestone:9, Cobblestone
chisel:cobblestone:10, Cobblestone
chisel:cobblestone:11, Cobblestone
chisel:cobblestone:12, Cobblestone
chisel:cobblestone:13, Cobblestone
chisel:cobblestone:14, Cobblestone
chisel:cobblestone:15, Cobblestone
chisel:cobblestone1:0, Cobblestone
chisel:cobblestone1:1, Cobblestone
chisel:cobblestone1:2, Cobblestone
chisel:cobblestone1:3, Cobblestone
chisel:cobblestone1:4, Cobblestone
chisel:cobblestone1:5, Cobblestone
chisel:cobblestone1:6, Cobblestone
chisel:cobblestone1:7, Cobblestone
chisel:cobblestone1:8, Cobblestone
chisel:cobblestone1:9, Cobblestone
chisel:cobblestone2:0, Cobblestone
chisel:cobblestone2:1, Cobblestone
chisel:cobblestone2:2, Cobblestone
chisel:cobblestone2:3, Cobblestone
chisel:cobblestone2:4, Cobblestone
chisel:cobblestone2:5, Cobblestone
chisel:cobblestone2:6, Cobblestone
chisel:cobblestone2:7, Cobblestone
chisel:cobblestone2:8, Cobblestone
chisel:cobblestone2:9, Cobblestone
chisel:block_coal:0, Block of Coal
chisel:block_coal:1, Block of Coal
chisel:block_coal:2, Block of Coal
chisel:block_coal:3, Block of Coal
chisel:block_coal:4, Block of Coal
chisel:block_coal:5, Block of Coal
chisel:block_coal:6, Block of Coal
chisel:block_coal:7, Block of Coal
chisel:block_coal:8, Block of Coal
chisel:block_coal:9, Block of Coal
chisel:block_coal:10, Block of Coal
chisel:block_coal:11, Block of Coal
chisel:block_coal:12, Block of Coal
chisel:block_coal:13, Block of Coal
chisel:block_coal:14, Block of Coal
chisel:block_coal:15, Block of Coal
chisel:block_coal1:0, Block of Coal
chisel:block_coal1:1, Block of Coal
chisel:block_coal1:2, Block of Coal
chisel:block_coal1:3, Block of Coal
chisel:block_coal1:4, Block of Coal
chisel:block_coal1:5, Block of Coal
chisel:block_coal1:6, Block of Coal
chisel:block_coal1:7, Block of Coal
chisel:block_coal1:8, Block of Coal
chisel:block_coal1:9, Block of Coal
chisel:block_coal1:10, Block of Coal
chisel:block_coal1:11, Block of Coal
chisel:block_coal1:12, Block of Coal
chisel:block_coal1:13, Block of Coal
chisel:block_coal1:14, Block of Coal
chisel:block_coal1:15, Block of Coal
chisel:block_coal2:0, Block of Coal
chisel:block_coal2:1, Block of Coal
chisel:block_coal_coke:0, Block of Coal Coke
chisel:block_coal_coke:1, Block of Coal Coke
chisel:block_coal_coke:2, Block of Coal Coke
chisel:block_coal_coke:3, Block of Coal Coke
chisel:block_coal_coke:4, Block of Coal Coke
